timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1777518359.0053332,hit,Q2,Z1,area:Z1:conf=0.5,1.0828971862792969
1777518359.0521083,hit,Q2,Z1,area:Z1:conf=0.0,0.5359649658203125
1777518359.101847,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.7,0.4067420959472656
1777518359.1527307,hit,Q4,Z1,compare:density:Z1:Z4:conf=0.7,1.1358261108398438
1777518359.2016854,hit,Q1,Z2,count:Z2:conf=0.5,0.301361083984375
1777518359.252067,hit,Q1,Z2,count:Z2:conf=0.7,0.8029937744140625
1777518359.3023229,hit,Q3,Z1,density:Z1:conf=0.0,0.44798851013183594
1777518359.3536184,hit,Q1,Z2,count:Z2:conf=0.5,0.7078647613525391
1777518359.4027355,hit,Q3,Z1,density:Z1:conf=0.5,0.5273818969726562
1777518359.455357,hit,Q1,Z1,count:Z1:conf=0.0,1.30462646484375
1777518359.5038998,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.7,0.4570484161376953
1777518359.5590553,hit,Q1,Z1,count:Z1:conf=0.5,0.49567222595214844
1777518359.6080432,hit,Q3,Z2,density:Z2:conf=0.0,0.37169456481933594
1777518359.6590781,hit,Q1,Z1,count:Z1:conf=0.0,0.438690185546875
1777518359.7081652,hit,Q3,Z3,density:Z3:conf=0.7,0.5161762237548828
1777518359.7586126,hit,Q3,Z5,density:Z5:conf=0.7,0.35452842712402344
1777518359.8093038,hit,Q4,Z3,compare:density:Z3:Z5:conf=0.7,0.30350685119628906
1777518359.85936,hit,Q1,Z1,count:Z1:conf=0.5,0.31495094299316406
1777518359.9112668,hit,Q3,Z2,density:Z2:conf=0.5,0.560760498046875
1777518359.9596224,hit,Q2,Z1,area:Z1:conf=0.7,0.38743019104003906
1777518360.0106947,hit,Q2,Z2,area:Z2:conf=0.5,0.4870891571044922
1777518360.0610902,hit,Q5,Z2,confidence_dist:Z2:bins=10,0.5106925964355469
1777518360.1125574,hit,Q1,Z5,count:Z5:conf=0.5,0.6771087646484375
1777518360.1616154,hit,Q1,Z1,count:Z1:conf=0.7,0.4711151123046875
1777518360.2122853,hit,Q3,Z1,density:Z1:conf=0.5,0.5004405975341797
1777518360.2638242,hit,Q3,Z1,density:Z1:conf=0.7,0.705718994140625
1777518360.3131158,hit,Q2,Z1,area:Z1:conf=0.0,0.49805641174316406
1777518360.3646166,hit,Q3,Z3,density:Z3:conf=0.7,0.6883144378662109
1777518360.415128,hit,Q3,Z1,density:Z1:conf=0.5,0.6201267242431641
1777518360.465912,hit,Q1,Z2,count:Z2:conf=0.0,1.0378360748291016
1777518360.516104,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.5,0.518798828125
1777518360.5665882,hit,Q3,Z2,density:Z2:conf=0.0,0.6964206695556641
1777518360.618336,hit,Q1,Z3,count:Z3:conf=0.5,0.9589195251464844
1777518360.6673894,hit,Q5,Z3,confidence_dist:Z3:bins=5,0.4494190216064453
1777518360.8258343,miss,Q4,Z2,compare:density:Z2:Z3:conf=0.5,108.80160331726074
1777518360.832095,hit,Q1,Z2,count:Z2:conf=0.0,0.4439353942871094
1777518360.8861978,hit,Q3,Z1,density:Z1:conf=0.5,1.8770694732666016
1777518360.9354978,hit,Q5,Z3,confidence_dist:Z3:bins=10,0.6804466247558594
1777518360.9853585,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.7,1.0535717010498047
1777518361.139861,miss,Q4,Z4,compare:density:Z4:Z3:conf=0.7,105.1170825958252
1777518361.1453524,hit,Q1,Z1,count:Z1:conf=0.0,0.38361549377441406
1777518361.1962767,hit,Q1,Z3,count:Z3:conf=0.5,0.41675567626953125
1777518361.2454972,hit,Q1,Z3,count:Z3:conf=0.0,0.37670135498046875
1777518361.2963057,hit,Q3,Z1,density:Z1:conf=0.7,0.5483627319335938
1777518361.34698,hit,Q2,Z2,area:Z2:conf=0.7,0.4448890686035156
1777518361.397822,hit,Q1,Z1,count:Z1:conf=0.7,0.46539306640625
1777518361.4482734,hit,Q1,Z1,count:Z1:conf=0.0,0.41365623474121094
1777518361.499463,hit,Q1,Z1,count:Z1:conf=0.5,0.7767677307128906
1777518361.550173,hit,Q1,Z2,count:Z2:conf=0.0,0.6268024444580078
1777518361.601245,hit,Q3,Z1,density:Z1:conf=0.7,0.499725341796875
1777518361.650877,hit,Q1,Z1,count:Z1:conf=0.7,1.0561943054199219
1777518361.7006886,hit,Q2,Z4,area:Z4:conf=0.7,0.9093284606933594
1777518361.752271,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.0,1.0311603546142578
1777518361.8019083,hit,Q1,Z1,count:Z1:conf=0.5,0.4715919494628906
1777518361.8546321,hit,Q3,Z1,density:Z1:conf=0.7,1.0724067687988281
1777518361.9022753,hit,Q1,Z3,count:Z3:conf=0.0,0.40793418884277344
1777518361.9559999,hit,Q4,Z1,compare:density:Z1:Z2:conf=0.0,1.1913776397705078
1777518362.0034013,hit,Q1,Z4,count:Z4:conf=0.0,0.5290508270263672
1777518362.0561364,hit,Q3,Z1,density:Z1:conf=0.5,0.5192756652832031
1777518362.1051376,hit,Q2,Z2,area:Z2:conf=0.7,0.48089027404785156
1777518362.1575441,hit,Q3,Z2,density:Z2:conf=0.5,0.545501708984375
1777518362.2063017,hit,Q1,Z1,count:Z1:conf=0.7,0.33092498779296875
1777518362.2576916,hit,Q2,Z1,area:Z1:conf=0.5,0.4382133483886719
1777518362.3078163,hit,Q1,Z2,count:Z2:conf=0.0,0.5128383636474609
1777518362.3590186,hit,Q5,Z1,confidence_dist:Z1:bins=10,0.39958953857421875
1777518362.409495,hit,Q1,Z1,count:Z1:conf=0.0,0.3619194030761719
1777518362.4592917,hit,Q2,Z1,area:Z1:conf=0.5,0.40841102600097656
1777518362.5093024,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.7,0.7157325744628906
1777518362.55936,hit,Q2,Z4,area:Z4:conf=0.0,0.5142688751220703
1777518362.609459,hit,Q3,Z1,density:Z1:conf=0.5,0.3025531768798828
1777518362.6602387,hit,Q1,Z3,count:Z3:conf=0.5,0.4725456237792969
1777518362.7112362,hit,Q1,Z5,count:Z5:conf=0.5,0.5278587341308594
1777518362.7610981,hit,Q1,Z2,count:Z2:conf=0.0,0.3695487976074219
1777518362.8112848,hit,Q5,Z1,confidence_dist:Z1:bins=5,0.5290508270263672
1777518362.8603368,hit,Q2,Z1,area:Z1:conf=0.0,0.3464221954345703
